Precision,tc,m,k,n,CUBLAS GFLOPS,TSM2 GFLOPS,Speedup
Single,2560000,20480000,32,16,89.6437,140.389,1.5660777054048418
Double,2560000,20480000,32,16,34.9,75.9081,2.1750171919770778
Single,1280000,20480000,32,16,89.628,139.719,1.5588766903199893
Double,1280000,20480000,32,16,34.9583,75.9193,2.1717102948369917
Single,640000,20480000,32,16,89.7694,138.753,1.5456603252333199
Double,640000,20480000,32,16,34.3428,75.5441,2.1997070710600184
Single,320000,20480000,32,16,89.7616,133.073,1.4825159088073296
Double,320000,20480000,32,16,34.9452,72.8048,2.0833991506701923
Single,160000,20480000,32,16,89.5731,123.047,1.373704828793466
Double,160000,20480000,32,16,34.9655,66.6146,1.9051522214754544
Single,80000,20480000,32,16,89.7458,123.284,1.3737021676780419
Double,80000,20480000,32,16,34.9751,69.9549,2.000134381316994
Single,40000,20480000,32,16,89.5888,120.075,1.340290304145161
Double,40000,20480000,32,16,34.9954,70.7378,2.0213456625727955
Single,20000,20480000,32,16,89.8246,68.7525,0.7654083625198441
Double,20000,20480000,32,16,34.4063,47.9289,1.3930268584532484
Single,10000,20480000,32,16,89.8324,35.3213,0.3931910980893308
Double,10000,20480000,32,16,35.0937,25.2634,0.7198841957388363
Single,20480000,20480000,32,32,174.446,135.039,0.7741020143769418
Double,20480000,20480000,32,32,130.587,65.9433,0.5049759930161501
Single,10240000,20480000,32,32,174.372,138.071,0.7918186406074369
Double,10240000,20480000,32,32,130.529,69.2992,0.5309103724076643
Single,5120000,20480000,32,32,174.372,140.207,0.8040683137200926
Double,5120000,20480000,32,32,130.712,71.2274,0.5449185996695025
Single,2560000,20480000,32,32,174.046,141.057,0.8104581547407007
Double,2560000,20480000,32,32,130.462,71.641,0.5491330808971195
Single,1280000,20480000,32,32,174.031,140.341,0.8064137998402584
Double,1280000,20480000,32,32,130.379,70.706,0.5423112617829559
Single,640000,20480000,32,32,173.972,140.428,0.807187363483779
Double,640000,20480000,32,32,130.379,70.7036,0.5422928539105224
Single,320000,20480000,32,32,137.894,135.208,0.9805212699609844
Double,320000,20480000,32,32,131.366,65.5213,0.4987690878918441
Single,160000,20480000,32,32,174.491,123.485,0.7076869294118321
Double,160000,20480000,32,32,131.122,59.3022,0.45226735406720453
Single,80000,20480000,32,32,173.972,123.344,0.70898765318557
Double,80000,20480000,32,32,130.704,58.9115,0.45072453788713424
Single,40000,20480000,32,32,174.12,120.826,0.693923730760395
Double,40000,20480000,32,32,130.438,59.6459,0.45727395390913694
Single,20000,20480000,32,32,174.402,68.9493,0.39534695703030925
Double,20000,20480000,32,32,131.248,33.614,0.2561105693039132
Single,10000,20480000,32,32,174.313,35.3292,0.20267679404289984
Double,10000,20480000,32,32,130.812,17.2936,0.13220193866006177
