Precision,tc,m,k,n,CUBLAS GFLOPS,TSM2 GFLOPS,Speedup
Double,100,25600,16,32,12.8,0.402136,0.031416875
Single,50,25600,16,32,26.1224,0.63335,0.024245475147765903
Double,50,25600,16,32,13.3333,0.402263,0.03016980042450106
Single,25,25600,16,32,9.20863,0.633037,0.0687438848123988
Double,25,25600,16,32,14.7126,0.402136,0.027332762394138357
Single,12,25600,16,32,9.34307,0.633977,0.06785531950418866
Double,12,25600,16,32,13.0612,0.402389,0.03080796557743546
Single,512000,512000,16,16,34.3164,56.6372,1.6504411884696528
Double,512000,512000,16,16,25.8065,39.8754,1.5451688528084009
Single,256000,512000,16,16,35.7542,53.3333,1.4916653148441303
Double,256000,512000,16,16,26.1224,38.3234,1.467070407007013
Single,128000,512000,16,16,35.8543,55.1724,1.5387945100029843
Double,128000,512000,16,16,26.7223,39.0244,1.4603683066203133
Single,64000,512000,16,16,36.1582,52.6749,1.4567898844522127
Double,64000,512000,16,16,26.3918,37.2093,1.4098810994323994
Single,32000,512000,16,16,36.0563,51.6129,1.431453033173121
Double,32000,512000,16,16,26.0692,37.4269,1.435675049483682
Single,16000,512000,16,16,35.2617,51.4056,1.4578310177898401
Double,16000,512000,16,16,27.234,39.7516,1.4596313431739738
Single,8000,512000,16,16,35.1648,32.4051,0.9215209527709527
Double,8000,512000,16,16,25.7545,27.1186,1.052965501174552
Single,4000,512000,16,16,36.2606,17.8771,0.4930172142766529
Double,4000,512000,16,16,26.8908,15.0943,0.5613183691076502
Single,2000,512000,16,16,36.5714,8.97616,0.24544206675161467
Double,2000,512000,16,16,26.8344,7.73414,0.2882173627880631
Single,1000,512000,16,16,35.5556,4.2624,0.11987985015018733
Double,1000,512000,16,16,26.8344,3.70049,0.13790097784932773
Single,500,512000,16,16,35.9551,1.84784,0.051392987364796645
Double,500,512000,16,16,26.6112,1.60865,0.06045011123136123
Single,250,512000,16,16,35.3591,0.638309,0.01805218458614614
Double,250,512000,16,16,26.6667,0.575358,0.021575898030127466
Single,512000,512000,16,32,68.2667,58.4475,0.856164132732357
Double,512000,512000,16,32,65.3061,27.3504,0.41880314396358076
Single,256000,512000,16,32,66.4935,58.3144,0.8769939918939446
Double,256000,512000,16,32,67.0157,34.4086,0.5134408802713394
Single,128000,512000,16,32,68.6327,61.3909,0.8944846989845948
Double,128000,512000,16,32,67.3684,35.6546,0.529248134140042
Single,64000,512000,16,32,68.0851,55.8952,0.8209608269650776
Double,64000,512000,16,32,64.6465,32.4873,0.5025376470497243
Single,32000,512000,16,32,69.3767,58.4475,0.8424658422784594
Double,32000,512000,16,32,66.1499,32.7785,0.4955185117437819
Single,16000,512000,16,32,67.9045,57.9186,0.852941999425664
Double,16000,512000,16,32,65.641,33.0749,0.5038756265139166
Single,8000,512000,16,32,70.7182,34.7826,0.4918479259935915
Double,8000,512000,16,32,64.6465,20.6285,0.3190969348688637
Single,4000,512000,16,32,68.8172,18.4173,0.2676264073516505
Double,4000,512000,16,32,67.0157,11.4388,0.1706883610855367
Single,2000,512000,16,32,69.3767,9.12981,0.13159764012989952
Double,2000,512000,16,32,67.0157,5.72451,0.08542043133176257
Single,1000,512000,16,32,66.6667,4.29386,0.0644078677960661
Double,1000,512000,16,32,65.641,2.69815,0.041104644962751936
Single,500,512000,16,32,69.7548,1.85239,0.02655573523255747
Double,500,512000,16,32,65.641,1.16406,0.017733733489739643
Single,250,512000,16,32,69.3767,0.638675,0.009205900540094873
Double,250,512000,16,32,66.1499,0.395214,0.0059745215034338675
Single,2048000,2048000,16,16,43.2432,69.0958,1.5978419728419726
Double,2048000,2048000,16,16,29.6296,47.7612,1.611942111942112
Single,1024000,2048000,16,16,44.0241,68.4492,1.5548120234144482
Double,1024000,2048000,16,16,29.6296,45.0308,1.5197910197910198
Single,512000,2048000,16,16,43.9485,72.5212,1.6501405053642328
Double,512000,2048000,16,16,29.4931,47.7167,1.6178936768261052
Single,256000,2048000,16,16,44.0241,72.5212,1.6473068160393967
Double,256000,2048000,16,16,29.8542,47.985,1.6073115340555097
Single,128000,2048000,16,16,43.7981,68.6327,1.5670245969574024
Double,128000,2048000,16,16,29.4931,45.8371,1.5541635162122667
Single,64000,2048000,16,16,43.5745,62.5917,1.436429563161941
Double,64000,2048000,16,16,29.6984,42.2094,1.4212684858443554
Single,32000,2048000,16,16,43.5745,62.0606,1.424241242010809
Double,32000,2048000,16,16,29.5101,43.3531,1.4690936323496022
Single,16000,2048000,16,16,43.8732,62.0606,1.4145446422873191
Double,16000,2048000,16,16,29.6468,44.9912,1.5175735661184344
Single,8000,2048000,16,16,43.2068,36.031,0.8339196607941342
Double,8000,2048000,16,16,30.6587,29.3242,0.9564723879355616
Single,4000,2048000,16,16,43.8356,18.789,0.4286242232340838
Double,4000,2048000,16,16,29.4761,15.783,0.5354507550184726
Single,2000,2048000,16,16,43.4266,9.2136,0.21216489432743985
Double,2000,2048000,16,16,29.7501,7.89636,0.26542297336815673
Single,1000,2048000,16,16,43.6488,4.31667,0.09889550228184968
Double,1000,2048000,16,16,29.5441,3.73505,0.12642287292555876
Single,2048000,2048000,16,32,83.6601,62.9766,0.7527674482817974
Double,2048000,2048000,16,32,80.6299,29.4761,0.36557282100064614
Single,1024000,2048000,16,32,84.4188,70.9633,0.8406101484503452
Double,1024000,2048000,16,32,80.0626,37.0612,0.46290277857576445
Single,512000,2048000,16,32,83.7971,73.8817,0.8816737094720462
Double,512000,2048000,16,32,80.1879,40.7319,0.5079556890752844
Single,256000,2048000,16,32,83.4556,74.3646,0.8910678252867392
Double,256000,2048000,16,32,79.8129,41.2072,0.5162974907565068
Single,128000,2048000,16,32,83.3198,70.7671,0.8493431333248519
Double,128000,2048000,16,32,79.5649,38.2518,0.480762245663603
Single,64000,2048000,16,32,82.6473,64.04,0.774858948810185
Double,64000,2048000,16,32,80.5665,35.1648,0.4364692521085066
Single,32000,2048000,16,32,84.2798,64.5649,0.7660779925913446
Double,32000,2048000,16,32,80.8208,35.3469,0.4373490487597252
Single,16000,2048000,16,32,84.4884,64.6057,0.764669469418287
Double,16000,2048000,16,32,81.6587,35.9551,0.44030948325163155
Single,8000,2048000,16,32,83.0495,36.8876,0.444164022661184
Double,8000,2048000,16,32,80.5665,21.7595,0.2700812372388027
Single,4000,2048000,16,32,84.2105,18.9139,0.22460263268832276
Double,4000,2048000,16,32,80.0,11.6695,0.14586875
Single,2000,2048000,16,32,84.4188,9.26362,0.10973408766767591
Double,2000,2048000,16,32,80.5665,5.7752,0.0716823990119963
Single,1000,2048000,16,32,83.3198,4.32177,0.05186966363337406
Double,1000,2048000,16,32,80.9486,2.71043,0.03348334622217061
Single,20480000,20480000,16,16,46.7366,74.9415,1.603486346888734
Double,20480000,20480000,16,16,30.7268,48.925,1.5922582240910215
Single,10240000,20480000,16,16,46.7239,79.9375,1.7108481954631356
Double,10240000,20480000,16,16,30.712,51.3129,1.670776895024746
Single,5120000,20480000,16,16,46.6472,80.025,1.7155370525990843
Double,5120000,20480000,16,16,30.6991,50.9605,1.659999804554531
Single,2560000,20480000,16,16,46.6855,80.2885,1.719773805571323
Double,2560000,20480000,16,16,30.6202,50.4533,1.647712947662001
Single,1280000,20480000,16,16,46.7281,80.6172,1.725240272983494
Double,1280000,20480000,16,16,30.712,50.2947,1.6376237301380567
Single,640000,20480000,16,16,46.758,80.6299,1.7244086573420592
Double,640000,20480000,16,16,30.8638,49.8442,1.6149728808507053
Single,320000,20480000,16,16,46.6898,75.7957,1.6233888343920941
Double,320000,20480000,16,16,29.7588,47.9311,1.6106529833192198
Single,160000,20480000,16,16,46.7409,68.0218,1.4552950413877352
Double,160000,20480000,16,16,30.7249,43.9372,1.430019300306917
Single,80000,20480000,16,16,46.7196,67.7876,1.450945641657891
Double,80000,20480000,16,16,30.7157,46.1428,1.50225454734875
Single,40000,20480000,16,16,46.6898,67.7697,1.4514883336403241
Double,40000,20480000,16,16,30.7268,46.8864,1.5259122329692647
Single,20000,20480000,16,16,23.7819,34.2269,1.4391995593287332
Double,20000,20480000,16,16,30.7268,31.1815,1.0147981566580313
Single,10000,20480000,16,16,46.7708,19.6772,0.4207154891513508
Double,10000,20480000,16,16,30.7065,16.4927,0.537107778483383
Single,20480000,20480000,16,32,90.2203,75.6557,0.8385662650201784
Double,20480000,20480000,16,32,85.1984,39.9547,0.46896068470769403
Single,10240000,20480000,16,32,90.2362,78.2217,0.866854987244587
Double,10240000,20480000,16,32,84.5722,44.0298,0.5206178862557673
Single,5120000,20480000,16,32,90.2203,79.8877,0.885473668342934
Double,5120000,20480000,16,32,85.0145,27.4024,0.32232619141440577
Single,2560000,20480000,16,32,90.2839,80.8464,0.8954686272967827
Double,2560000,20480000,16,32,85.1488,41.7874,0.4907573565335037
Single,1280000,20480000,16,32,90.022,61.5533,0.683758414609762
Double,1280000,20480000,16,32,84.7261,41.5365,0.4902444465164807
Single,640000,20480000,16,32,90.2282,80.9998,0.8977215549019042
Double,640000,20480000,16,32,85.1701,41.3303,0.48526771719183137
Single,320000,20480000,16,32,90.3715,76.1338,0.8424536496572481
Double,320000,20480000,16,32,43.8394,39.4879,0.9007399736310261
Single,160000,20480000,16,32,90.2919,68.6097,0.7598655028856409
Double,160000,20480000,16,32,84.7963,36.1085,0.42582636270686336
Single,80000,20480000,16,32,90.2919,68.144,0.7547077866342385
Double,80000,20480000,16,32,85.0922,37.1176,0.4362044934788383
Single,40000,20480000,16,32,90.2998,68.1485,0.7546915940013156
Double,40000,20480000,16,32,85.241,37.0665,0.4348435611970765
Single,20000,20480000,16,32,90.3556,38.8556,0.4300297933941007
Double,20000,20480000,16,32,84.7612,22.9514,0.2707771952261176
Single,10000,20480000,16,32,90.2044,19.6734,0.21809800852286584
Double,10000,20480000,16,32,84.7612,12.1245,0.14304304327923625
Single,12800,12800,32,16,5.76577,14.5455,2.52273330361773
Double,12800,12800,32,16,8.31169,15.2381,1.8333335338541257
Single,6400,12800,32,16,5.71429,13.0612,2.2857082857187856
Double,6400,12800,32,16,9.69697,12.8,1.3199999587500013
Single,3200,12800,32,16,6.21359,10.6667,1.716672648179233
Double,3200,12800,32,16,9.41176,10.6667,1.133337441668721
Single,1600,12800,32,16,5.0,7.19101,1.438202
Double,1600,12800,32,16,8.64865,7.35632,0.8505743670977551
Single,800,12800,32,16,6.03774,4.81203,0.7969919208180544
Double,800,12800,32,16,9.01408,4.53901,0.5035466736483368
Single,400,12800,32,16,5.98131,3.04762,0.5095238334077318
Double,400,12800,32,16,8.31169,2.84444,0.34222161798623385
Single,200,12800,32,16,5.71429,1.30879,0.22903807822144132
Double,200,12800,32,16,9.41176,1.10919,0.11785149642574821
Single,100,12800,32,16,5.56522,1.31687,0.23662496720704662
Double,100,12800,32,16,8.0,1.10155,0.13769375
Single,50,12800,32,16,5.98131,1.31148,0.2192630042582645
Double,50,12800,32,16,9.55224,1.10535,0.11571631366046081
Single,25,12800,32,16,5.81818,1.31148,0.22541069544084233
Double,25,12800,32,16,9.27536,1.10727,0.11937757671939418
Single,12,12800,32,16,5.87156,1.30879,0.2229032829435448
Double,12,12800,32,16,8.20513,1.11111,0.13541650162764027
Single,6,12800,32,16,5.51724,1.31687,0.23868274717068677
Double,6,12800,32,16,8.20513,1.10727,0.13494850173001524
Single,12800,12800,32,32,37.6471,38.7879,1.030302466856677
Double,12800,12800,32,32,15.8025,18.0282,1.140844803037494
Single,6400,12800,32,32,11.0345,20.6452,1.8709683266119896
Double,6400,12800,32,32,16.2025,14.0659,0.8681314611942601
Single,3200,12800,32,32,11.4286,15.2381,1.3333304166739584
Double,3200,12800,32,32,13.7634,9.55224,0.6940319979074937
Single,1600,12800,32,32,10.4918,9.34307,0.8905116376598868
Double,1600,12800,32,32,16.4103,5.16129,0.31451527394380363
Single,800,12800,32,32,11.7431,5.68889,0.4844453338556258
Double,800,12800,32,32,14.5455,3.03318,0.20853047334227082
Single,400,12800,32,32,11.1304,3.30749,0.2971582333069791
Double,400,12800,32,32,15.2381,1.61616,0.10606046685610411
Single,200,12800,32,32,10.5785,1.33612,0.1263052417639552
Double,200,12800,32,32,13.1959,0.567879,0.04303450314112717
Single,100,12800,32,32,10.24,1.34031,0.13088964843749998
Double,100,12800,32,32,13.913,0.566372,0.04070811471285848
Single,50,12800,32,32,10.5785,1.34031,0.12670132816561894
Double,50,12800,32,32,15.4217,0.567879,0.036823372261164465
Single,25,12800,32,32,10.8475,1.33195,0.12278866098179303
Double,25,12800,32,32,44.1379,0.456654,0.010346074462083606
Single,12,12800,32,32,11.6364,1.33891,0.11506221855556702
Double,12,12800,32,32,16.2025,0.567376,0.03501780589415213
Single,6,12800,32,32,10.7563,1.33891,0.12447681823675429
Double,6,12800,32,32,16.2025,0.567879,0.03504885048603611
